NRO	ANIO	TIPO	ORIGEN	CARATULA	MESA	DAE	AUTOR	COM1	COM2	COM3	COM4	COM5
1088	2024	PD	S	"MENDOZA: PROYECTO DE DECLARACIÓN QUE DECLARA DE INTERES LA OBRA MUSICAL DE FOLCLORE CON ARREGLOS SINFONICOS: ""CANTATA A CAMILA O'GORMAN"", A REALIZARSE EN EL CABILDO DE LA CDAD. DE BS.AS., EL 15 DE JULIO DE 2024."	28/06/2024	54/2024	MENDOZA, SANDRA MARIELA	DE EDUCACIÓN Y CULTURA				
1085	2024	PD	S	DURE: PROYECTO DE DECLARACIÓN QUE EXPRESA BENEPLACITO POR EL ANIVERSARIO DEL NATALICIO DE LOHANA BERKINS, EL 15 DE JUNIO DE 2024.	27/06/2024	54/2024		BANCA DE LA MUJER	BANCA DE LA MUJER			
1084	2024	PC	S	DURE: PROYECTO DE COMUNICACIÓN QUE SOLICITA INFORME SOBRE EL ESTADO DE SITUACIÓN DE LAS POLÍTICAS PÚBLICAS DESTINADAS A LA LUCHA EN CONTRA DE LA TRATA Y EXPLOTACIÓN DE PERSONAS.	27/06/2024	54/2024		DE DERECHOS Y GARANTÍAS				
1081	2024	PL	S	FAMA Y OTROS: PROYECTO DE LEY QUE MODIFICA EL ARTICULO 18° DE SU SIMILAR 24.449 - LEY DE TRANSITO -, RESPECTO A LA MODIFICACION DE DATOS EN LICENCIA DE CONDUCTOR.	27/06/2024	54/2024	FAMA, FLAVIO SERGIO	DE INFRAESTRUCTURA, VIVIENDA Y TRANSPORTE				
1078	2024	PL	S	AVILA: PROYECTO DE LEY QUE MODIFICA EL ART. 8° DE SU SIMILAR 24.240- DEFENSA AL CONSUMIDOR-, RESPECTO A LOS AVISOS PUBLICITARIOS REALIZADOS POR CUALQUIER MEDIO DE COMUNICACIÓN.	27/06/2024	54/2024	AVILA, BEATRIZ LUISA	DE DERECHOS Y GARANTÍAS				
1077	2024	PL	S	AVILA: PROYECTO DE LEY SOBRE PLAN NACIONAL DE CONECTIVIDAD DEL SISTEMA EDUCATIVO.	27/06/2024	54/2024	AVILA, BEATRIZ LUISA	DE EDUCACIÓN Y CULTURA	DE SISTEMAS, MEDIOS DE COMUNICACIÓN Y LIBERTAD DE EXPRESIÓN	DE PRESUPUESTO Y HACIENDA		
1075	2024	PD	S	"AVILA: PROYECTO DE DECLARACION QUE ADHIERE AL ""DIA INTERNACIONAL DE LA LUCHA CONTRA EL USO INDEBIDO Y EL TRAFICO ILICITO DE DROGAS"" EL 26 DE JUNIO DE 2024."	27/06/2024	53/2024	AVILA, BEATRIZ LUISA	DE SEGURIDAD INTERIOR Y NARCOTRÁFICO				
1074	2024	PD	S	"AVILA: PROYECTO DE DECLARACION QUE DECLARA DE INTERES EL ""37° CONGRESO ARGENTINO DE ORL Y ACTIVIDADES CONEXAS"", A DESARROLLARSE EN CABA DEL 15 AL 17 DE AGOSTO DE 2024."	27/06/2024	53/2024	AVILA, BEATRIZ LUISA	DE SALUD				
1072	2024	PD	S	"AVILA: PROYECTO DE DECLARACION QUE ADHIERE AL ""DIA DE LAS MICROEMPRESAS Y LAS PEQUEÑAS Y MEDIANAS EMPRESAS"" EL 27 DE JUNIO DE 2024."	27/06/2024	53/2024	AVILA, BEATRIZ LUISA	DE ECONOMÍAS REGIONALES, ECONOMÍA SOCIAL, MICRO, PEQUEÑA Y MEDIANA EMPRESA				
1071	2024	PD	S	LEAVY: PROYECTO DE DECLARACIÓN QUE EXPRESA BENEPLACITO POR LA CONMEMORACION DEL DIA NACIONAL DEL MEDICO RURAL, EL 4 DE JULIO DE 2024.	27/06/2024	53/2024		DE SALUD				
1068	2024	PL	S	CRISTINA: PROYECTO DE LEY QUE DECLARA EL 29 DE JUNIO DE CADA AÑO COMO DIA NACIONAL DE LA CONCIENTIZACION Y DIFUSION SOBRE LA ESCLERODERMIA.	27/06/2024	53/2024	CRISTINA, ANDREA MARCELA	DE SALUD	DE SALUD			
1065	2024	PD	S	GARCIA LARRABURU: PROYECTO DE DECLARACIÓN QUE REPUDIA LA REPRESIÓN Y LAS 35 DETENCIONES EFECTUADAS EN LA MANIFESTACIÓN DEL 12 DE JUNIO DE 2024.	27/06/2024	53/2024		DE SEGURIDAD INTERIOR Y NARCOTRÁFICO				
